title,rooms,square_m,floor,serie,price,link,area,region,street,building_total_floors,price_per_square_m,time
Сдаётся 2-ух комнатная квартира в Агенскалнских соснах. В квар,2.0,44,4.0,Hrušč.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/idfpn.html,riga,Āgenskalns,Kristapa 26,5,4.545454545454546,2023-01-05 07:32:31
"Piedāvājam uz īri divu istabu dzīvokli renovētā, vēsturiskā, pir",2.0,44,4.0,P. kara,350.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/fhbmm.html,riga,centrs,Ieroču 10,5,7.954545454545454,2023-01-05 07:32:31
"Vienkāršs, kompakts un saulains studio tipa mājoklis iekšpagama",1.0,29,4.0,LT proj.,290.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/amxxk.html,riga,Teika,Brīvības 215,5,10.0,2023-01-05 07:32:31
"Сдаём апартаменты, с отдельной ванной в каждой комнате. Можно на",1.0,25,2.0,Specpr.,350.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/agicp.html,riga,Imanta,Kurzemes pr. 132,2,14.0,2023-01-05 07:32:31
Izīrē ilgtermiņā (ne mazāk par gadu) 2-istabu dzīvokli ar visām,2.0,48,3.0,Čehu pr.,320.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/anfnb.html,riga,Ķengarags,Lokomotīves 54,12,6.666666666666667,2023-01-05 07:32:31
"Tiek izīrēts 2-istabu dzīvoklis Rīgā, Ziepniekkalnā. Dzīvoklis a",2.0,49,9.0,602.,300.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/dnkon.html,riga,Ziepniekkalns,Ozolciema 40,9,6.122448979591836,2023-01-05 07:32:31
"Ērts, silts un mājīgs dzīvoklis pašā Rīgas sirdī. Atrodas presti",2.0,62,4.0,Specpr.,400.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dilli.html,riga,centrs,Valdemāra 106,5,6.451612903225806,2023-01-05 07:32:31
Īpašnieks izīrē atsevišķu dzīvokli kopmītņu tipa mājā. Koplietoj,1.0,18,5.0,M. ģim.,98.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/ehijo.html,riga,Jugla,Mārkalnes 1,5,5.444444444444445,2023-01-05 07:32:31
Tiek izīrēts 1-ist. dzīvoklis pēc kap. remonta ar centrālo apkur,1.0,27,2.0,Renov.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/dbfcb.html,riga,Sarkandaugava,Hāpsalas 12,3,7.407407407407407,2023-01-05 07:32:31
Сдаётся на длительный срок. Рядом магазины и остановка автобусов,1.0,328,6.0,602.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/bxjgg.html,riga,Ziepniekkalns,Ozolciema 42/1,9,0.6097560975609756,2023-01-05 07:32:31
Сдаётся 2-ком. квартира со всеми удобствами и центральным отопле,2.0,43,3.0,Renov.,180.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/bdmdo.html,riga,Sarkandaugava,Viestura pr. 120,3,4.186046511627907,2023-01-05 07:32:31
"Izīrē dzīvoklis uz ilgāku laiku. Dzīvoklis pēc kapitālā remonta,",1.0,28,3.0,Specpr.,300.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/abnej.html,riga,Sarkandaugava,Viestura pr. 53,9,10.714285714285714,2023-01-05 07:32:31
"Ilgtermiņā tiek izīrēts moderns, mierpilns nesen izremontēts un",2.0,62,3.0,Jaun.,570.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/dzeguzhkalns/cbidd.html,riga,Dzegužkalns,Iecavas 1,6,9.193548387096774,2023-01-05 07:32:31
Izīrēju 1 istabu 1 cilvēkam bez kaitīgiem ieradumiem un mājdzīvn,1.0,18,1.0,Priv. m.,300.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/adcxi.html,riga,Teika,Remīnes 3,2,16.666666666666668,2023-01-05 07:32:31
Ilgtermiņā tiek izīrēts saulains un ekonomisks vienistabas dzīvo,1.0,33,2.0,Specpr.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/cilhk.html,riga,Sarkandaugava,Viestura pr. 39,9,6.0606060606060606,2023-01-05 07:32:31
Tiek izīrēts 1 istabas dzīvoklis ar centralo apkuri. Dzīvoklī ir,1.0,20,2.0,Renov.,150.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dobmd.html,riga,centrs,Bruņinieku 115С,5,7.5,2023-01-05 07:32:31
Сдаю 1 комнатную квартиру в чиекуркалнсе 28 кв м. Со всеми удобс,1.0,28,1.0,Hrušč.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/chiekurkalns/dxbke.html,riga,Čiekurkalns,Čiekurkalna 1. l. 1,5,7.142857142857143,2023-01-05 07:32:31
Сдаётся 1-ком. квартира со всеми удобствами и центральным отопле,1.0,28,2.0,Renov.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/mangali/epcki.html,riga,Mangaļi,Ezera 18,3,7.142857142857143,2023-01-05 07:32:31
Tiek izīrēts gaišs un mājīgs studio tipa vienistabas dzīvoklis R,1.0,30,2.0,P. kara,250.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/fpcol.html,riga,Sarkandaugava,Duntes 54,2,8.333333333333334,2023-01-05 07:32:31
Хозяин без посредников сдаёт 2-х комнатную квартиру. Квартира на,2.0,50,5.0,LT proj.,230.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/fence.html,riga,Imanta,M. Krūmu 1,5,4.6,2023-01-05 07:32:31
Super-piedāvājums jauniešiem. Ideāla vienam cilvēkam. Jauns mo,1.0,22,2.0,Renov.,300.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/afolm.html,riga,centrs,Brīvības 212,2,13.636363636363637,2023-01-05 07:32:31
Сдаю двухкомнатную квартиру на длительный срок. Аренда за первый,2.0,44,1.0,LT proj.,250.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/afihc.html,riga,Ķengarags,Prūšu 3,5,5.681818181818182,2023-01-05 07:32:31
Ilgtermiņā izīrē. Visas detāļas un nianses var aprunāt tikšanas,2.0,53,4.0,103.,280.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhapark/cgnjm.html,riga,Mežaparks,Viestura pr. 77,5,5.283018867924528,2023-01-05 07:32:31
Пенсионер сдает комнату студентам или пожилой женщине. С детьми,2.0,50,2.0,Hrušč.,100.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/fpknd.html,riga,Iļģuciems,Cementa 3б,1,2.0,2023-01-05 07:32:31
Владелец сдаёт 3х-комнатную квартиру с мебелью напротив т/ц Akro,3.0,75,4.0,Čehu pr.,450.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/hkncg.html,riga,Ķengarags,Maskavas 259/1,12,6.0,2023-01-05 07:32:31
"Хозяин сдаёт на длительный срок квартиру. Квартира тёплая, уютна",2.0,48,1.0,LT proj.,230.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/fejnh.html,riga,Iļģuciems,Buļļu 35A,5,4.791666666666667,2023-01-05 07:32:31
Сдаётся 2-ух комнатная квартира в Агенскалнских соснах. В квар,2.0,44,4.0,Hrušč.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/idfpn.html,riga,Āgenskalns,Kristapa 26,5,4.545454545454546,2023-01-05 07:32:31
"Piedāvājam uz īri divu istabu dzīvokli renovētā, vēsturiskā, pir",2.0,44,4.0,P. kara,350.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/fhbmm.html,riga,centrs,Ieroču 10,5,7.954545454545454,2023-01-05 07:32:31
"Vienkāršs, kompakts un saulains studio tipa mājoklis iekšpagama",1.0,29,4.0,LT proj.,290.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/amxxk.html,riga,Teika,Brīvības 215,5,10.0,2023-01-05 07:32:31
"Сдаём апартаменты, с отдельной ванной в каждой комнате. Можно на",1.0,25,2.0,Specpr.,350.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/agicp.html,riga,Imanta,Kurzemes pr. 132,2,14.0,2023-01-05 07:32:31
Izīrē ilgtermiņā (ne mazāk par gadu) 2-istabu dzīvokli ar visām,2.0,48,3.0,Čehu pr.,320.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/anfnb.html,riga,Ķengarags,Lokomotīves 54,12,6.666666666666667,2023-01-05 07:32:31
"Tiek izīrēts 2-istabu dzīvoklis Rīgā, Ziepniekkalnā. Dzīvoklis a",2.0,49,9.0,602.,300.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/dnkon.html,riga,Ziepniekkalns,Ozolciema 40,9,6.122448979591836,2023-01-05 07:32:31
"Ērts, silts un mājīgs dzīvoklis pašā Rīgas sirdī. Atrodas presti",2.0,62,4.0,Specpr.,400.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dilli.html,riga,centrs,Valdemāra 106,5,6.451612903225806,2023-01-05 07:32:31
Īpašnieks izīrē atsevišķu dzīvokli kopmītņu tipa mājā. Koplietoj,1.0,18,5.0,M. ģim.,98.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/ehijo.html,riga,Jugla,Mārkalnes 1,5,5.444444444444445,2023-01-05 07:32:31
Tiek izīrēts 1-ist. dzīvoklis pēc kap. remonta ar centrālo apkur,1.0,27,2.0,Renov.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/dbfcb.html,riga,Sarkandaugava,Hāpsalas 12,3,7.407407407407407,2023-01-05 07:32:31
Сдаётся на длительный срок. Рядом магазины и остановка автобусов,1.0,328,6.0,602.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/bxjgg.html,riga,Ziepniekkalns,Ozolciema 42/1,9,0.6097560975609756,2023-01-05 07:32:31
Сдаётся 2-ком. квартира со всеми удобствами и центральным отопле,2.0,43,3.0,Renov.,180.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/bdmdo.html,riga,Sarkandaugava,Viestura pr. 120,3,4.186046511627907,2023-01-05 07:32:31
"Izīrē dzīvoklis uz ilgāku laiku. Dzīvoklis pēc kapitālā remonta,",1.0,28,3.0,Specpr.,300.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/abnej.html,riga,Sarkandaugava,Viestura pr. 53,9,10.714285714285714,2023-01-05 07:32:31
"Ilgtermiņā tiek izīrēts moderns, mierpilns nesen izremontēts un",2.0,62,3.0,Jaun.,570.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/dzeguzhkalns/cbidd.html,riga,Dzegužkalns,Iecavas 1,6,9.193548387096774,2023-01-05 07:32:31
Izīrēju 1 istabu 1 cilvēkam bez kaitīgiem ieradumiem un mājdzīvn,1.0,18,1.0,Priv. m.,300.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/adcxi.html,riga,Teika,Remīnes 3,2,16.666666666666668,2023-01-05 07:32:31
Ilgtermiņā tiek izīrēts saulains un ekonomisks vienistabas dzīvo,1.0,33,2.0,Specpr.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/cilhk.html,riga,Sarkandaugava,Viestura pr. 39,9,6.0606060606060606,2023-01-05 07:32:31
Tiek izīrēts 1 istabas dzīvoklis ar centralo apkuri. Dzīvoklī ir,1.0,20,2.0,Renov.,150.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dobmd.html,riga,centrs,Bruņinieku 115С,5,7.5,2023-01-05 07:32:31
Сдаю 1 комнатную квартиру в чиекуркалнсе 28 кв м. Со всеми удобс,1.0,28,1.0,Hrušč.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/chiekurkalns/dxbke.html,riga,Čiekurkalns,Čiekurkalna 1. l. 1,5,7.142857142857143,2023-01-05 07:32:31
Сдаётся 1-ком. квартира со всеми удобствами и центральным отопле,1.0,28,2.0,Renov.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/mangali/epcki.html,riga,Mangaļi,Ezera 18,3,7.142857142857143,2023-01-05 07:32:31
Tiek izīrēts gaišs un mājīgs studio tipa vienistabas dzīvoklis R,1.0,30,2.0,P. kara,250.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/fpcol.html,riga,Sarkandaugava,Duntes 54,2,8.333333333333334,2023-01-05 07:32:31
Хозяин без посредников сдаёт 2-х комнатную квартиру. Квартира на,2.0,50,5.0,LT proj.,230.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/fence.html,riga,Imanta,M. Krūmu 1,5,4.6,2023-01-05 07:32:31
Super-piedāvājums jauniešiem. Ideāla vienam cilvēkam. Jauns mo,1.0,22,2.0,Renov.,300.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/afolm.html,riga,centrs,Brīvības 212,2,13.636363636363637,2023-01-05 07:32:31
Сдаю двухкомнатную квартиру на длительный срок. Аренда за первый,2.0,44,1.0,LT proj.,250.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/afihc.html,riga,Ķengarags,Prūšu 3,5,5.681818181818182,2023-01-05 07:32:31
Ilgtermiņā izīrē. Visas detāļas un nianses var aprunāt tikšanas,2.0,53,4.0,103.,280.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhapark/cgnjm.html,riga,Mežaparks,Viestura pr. 77,5,5.283018867924528,2023-01-05 07:32:31
Пенсионер сдает комнату студентам или пожилой женщине. С детьми,2.0,50,2.0,Hrušč.,100.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/fpknd.html,riga,Iļģuciems,Cementa 3б,1,2.0,2023-01-05 07:32:31
Владелец сдаёт 3х-комнатную квартиру с мебелью напротив т/ц Akro,3.0,75,4.0,Čehu pr.,450.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/hkncg.html,riga,Ķengarags,Maskavas 259/1,12,6.0,2023-01-05 07:32:31
"Хозяин сдаёт на длительный срок квартиру. Квартира тёплая, уютна",2.0,48,1.0,LT proj.,230.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/fejnh.html,riga,Iļģuciems,Buļļu 35A,5,4.791666666666667,2023-01-05 07:32:31
Сдаётся 2-ух комнатная квартира в Агенскалнских соснах. В квар,2.0,44,4.0,Hrušč.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/idfpn.html,riga,Āgenskalns,Kristapa 26,5,4.545454545454546,2023-01-05 07:32:31
"Piedāvājam uz īri divu istabu dzīvokli renovētā, vēsturiskā, pir",2.0,44,4.0,P. kara,350.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/fhbmm.html,riga,centrs,Ieroču 10,5,7.954545454545454,2023-01-05 07:32:31
"Vienkāršs, kompakts un saulains studio tipa mājoklis iekšpagama",1.0,29,4.0,LT proj.,290.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/amxxk.html,riga,Teika,Brīvības 215,5,10.0,2023-01-05 07:32:31
"Сдаём апартаменты, с отдельной ванной в каждой комнате. Можно на",1.0,25,2.0,Specpr.,350.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/agicp.html,riga,Imanta,Kurzemes pr. 132,2,14.0,2023-01-05 07:32:31
Izīrē ilgtermiņā (ne mazāk par gadu) 2-istabu dzīvokli ar visām,2.0,48,3.0,Čehu pr.,320.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/anfnb.html,riga,Ķengarags,Lokomotīves 54,12,6.666666666666667,2023-01-05 07:32:31
"Tiek izīrēts 2-istabu dzīvoklis Rīgā, Ziepniekkalnā. Dzīvoklis a",2.0,49,9.0,602.,300.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/dnkon.html,riga,Ziepniekkalns,Ozolciema 40,9,6.122448979591836,2023-01-05 07:32:31
"Ērts, silts un mājīgs dzīvoklis pašā Rīgas sirdī. Atrodas presti",2.0,62,4.0,Specpr.,400.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dilli.html,riga,centrs,Valdemāra 106,5,6.451612903225806,2023-01-05 07:32:31
Īpašnieks izīrē atsevišķu dzīvokli kopmītņu tipa mājā. Koplietoj,1.0,18,5.0,M. ģim.,98.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/ehijo.html,riga,Jugla,Mārkalnes 1,5,5.444444444444445,2023-01-05 07:32:31
Tiek izīrēts 1-ist. dzīvoklis pēc kap. remonta ar centrālo apkur,1.0,27,2.0,Renov.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/dbfcb.html,riga,Sarkandaugava,Hāpsalas 12,3,7.407407407407407,2023-01-05 07:32:31
Сдаётся на длительный срок. Рядом магазины и остановка автобусов,1.0,328,6.0,602.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/bxjgg.html,riga,Ziepniekkalns,Ozolciema 42/1,9,0.6097560975609756,2023-01-05 07:32:31
Сдаётся 2-ком. квартира со всеми удобствами и центральным отопле,2.0,43,3.0,Renov.,180.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/bdmdo.html,riga,Sarkandaugava,Viestura pr. 120,3,4.186046511627907,2023-01-05 07:32:31
"Izīrē dzīvoklis uz ilgāku laiku. Dzīvoklis pēc kapitālā remonta,",1.0,28,3.0,Specpr.,300.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/abnej.html,riga,Sarkandaugava,Viestura pr. 53,9,10.714285714285714,2023-01-05 07:32:31
"Ilgtermiņā tiek izīrēts moderns, mierpilns nesen izremontēts un",2.0,62,3.0,Jaun.,570.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/dzeguzhkalns/cbidd.html,riga,Dzegužkalns,Iecavas 1,6,9.193548387096774,2023-01-05 07:32:31
Izīrēju 1 istabu 1 cilvēkam bez kaitīgiem ieradumiem un mājdzīvn,1.0,18,1.0,Priv. m.,300.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/adcxi.html,riga,Teika,Remīnes 3,2,16.666666666666668,2023-01-05 07:32:31
Ilgtermiņā tiek izīrēts saulains un ekonomisks vienistabas dzīvo,1.0,33,2.0,Specpr.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/cilhk.html,riga,Sarkandaugava,Viestura pr. 39,9,6.0606060606060606,2023-01-05 07:32:31
Tiek izīrēts 1 istabas dzīvoklis ar centralo apkuri. Dzīvoklī ir,1.0,20,2.0,Renov.,150.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dobmd.html,riga,centrs,Bruņinieku 115С,5,7.5,2023-01-05 07:32:31
Сдаю 1 комнатную квартиру в чиекуркалнсе 28 кв м. Со всеми удобс,1.0,28,1.0,Hrušč.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/chiekurkalns/dxbke.html,riga,Čiekurkalns,Čiekurkalna 1. l. 1,5,7.142857142857143,2023-01-05 07:32:31
Сдаётся 1-ком. квартира со всеми удобствами и центральным отопле,1.0,28,2.0,Renov.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/mangali/epcki.html,riga,Mangaļi,Ezera 18,3,7.142857142857143,2023-01-05 07:32:31
Tiek izīrēts gaišs un mājīgs studio tipa vienistabas dzīvoklis R,1.0,30,2.0,P. kara,250.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/fpcol.html,riga,Sarkandaugava,Duntes 54,2,8.333333333333334,2023-01-05 07:32:31
Хозяин без посредников сдаёт 2-х комнатную квартиру. Квартира на,2.0,50,5.0,LT proj.,230.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/fence.html,riga,Imanta,M. Krūmu 1,5,4.6,2023-01-05 07:32:31
Super-piedāvājums jauniešiem. Ideāla vienam cilvēkam. Jauns mo,1.0,22,2.0,Renov.,300.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/afolm.html,riga,centrs,Brīvības 212,2,13.636363636363637,2023-01-05 07:32:31
Сдаю двухкомнатную квартиру на длительный срок. Аренда за первый,2.0,44,1.0,LT proj.,250.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/afihc.html,riga,Ķengarags,Prūšu 3,5,5.681818181818182,2023-01-05 07:32:31
Ilgtermiņā izīrē. Visas detāļas un nianses var aprunāt tikšanas,2.0,53,4.0,103.,280.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhapark/cgnjm.html,riga,Mežaparks,Viestura pr. 77,5,5.283018867924528,2023-01-05 07:32:31
Пенсионер сдает комнату студентам или пожилой женщине. С детьми,2.0,50,2.0,Hrušč.,100.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/fpknd.html,riga,Iļģuciems,Cementa 3б,1,2.0,2023-01-05 07:32:31
Владелец сдаёт 3х-комнатную квартиру с мебелью напротив т/ц Akro,3.0,75,4.0,Čehu pr.,450.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/hkncg.html,riga,Ķengarags,Maskavas 259/1,12,6.0,2023-01-05 07:32:31
"Хозяин сдаёт на длительный срок квартиру. Квартира тёплая, уютна",2.0,48,1.0,LT proj.,230.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/fejnh.html,riga,Iļģuciems,Buļļu 35A,5,4.791666666666667,2023-01-05 07:32:31
Сдаётся 2-ух комнатная квартира в Агенскалнских соснах. В квар,2.0,44,4.0,Hrušč.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/idfpn.html,riga,Āgenskalns,Kristapa 26,5,4.545454545454546,2023-01-05 07:32:31
"Piedāvājam uz īri divu istabu dzīvokli renovētā, vēsturiskā, pir",2.0,44,4.0,P. kara,350.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/fhbmm.html,riga,centrs,Ieroču 10,5,7.954545454545454,2023-01-05 07:32:31
"Vienkāršs, kompakts un saulains studio tipa mājoklis iekšpagama",1.0,29,4.0,LT proj.,290.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/amxxk.html,riga,Teika,Brīvības 215,5,10.0,2023-01-05 07:32:31
"Сдаём апартаменты, с отдельной ванной в каждой комнате. Можно на",1.0,25,2.0,Specpr.,350.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/agicp.html,riga,Imanta,Kurzemes pr. 132,2,14.0,2023-01-05 07:32:31
Izīrē ilgtermiņā (ne mazāk par gadu) 2-istabu dzīvokli ar visām,2.0,48,3.0,Čehu pr.,320.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/anfnb.html,riga,Ķengarags,Lokomotīves 54,12,6.666666666666667,2023-01-05 07:32:31
"Tiek izīrēts 2-istabu dzīvoklis Rīgā, Ziepniekkalnā. Dzīvoklis a",2.0,49,9.0,602.,300.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/dnkon.html,riga,Ziepniekkalns,Ozolciema 40,9,6.122448979591836,2023-01-05 07:32:31
"Ērts, silts un mājīgs dzīvoklis pašā Rīgas sirdī. Atrodas presti",2.0,62,4.0,Specpr.,400.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dilli.html,riga,centrs,Valdemāra 106,5,6.451612903225806,2023-01-05 07:32:31
Īpašnieks izīrē atsevišķu dzīvokli kopmītņu tipa mājā. Koplietoj,1.0,18,5.0,M. ģim.,98.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/ehijo.html,riga,Jugla,Mārkalnes 1,5,5.444444444444445,2023-01-05 07:32:31
Tiek izīrēts 1-ist. dzīvoklis pēc kap. remonta ar centrālo apkur,1.0,27,2.0,Renov.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/dbfcb.html,riga,Sarkandaugava,Hāpsalas 12,3,7.407407407407407,2023-01-05 07:32:31
Сдаётся на длительный срок. Рядом магазины и остановка автобусов,1.0,328,6.0,602.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/bxjgg.html,riga,Ziepniekkalns,Ozolciema 42/1,9,0.6097560975609756,2023-01-05 07:32:31
Сдаётся 2-ком. квартира со всеми удобствами и центральным отопле,2.0,43,3.0,Renov.,180.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/bdmdo.html,riga,Sarkandaugava,Viestura pr. 120,3,4.186046511627907,2023-01-05 07:32:31
"Izīrē dzīvoklis uz ilgāku laiku. Dzīvoklis pēc kapitālā remonta,",1.0,28,3.0,Specpr.,300.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/abnej.html,riga,Sarkandaugava,Viestura pr. 53,9,10.714285714285714,2023-01-05 07:32:31
"Ilgtermiņā tiek izīrēts moderns, mierpilns nesen izremontēts un",2.0,62,3.0,Jaun.,570.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/dzeguzhkalns/cbidd.html,riga,Dzegužkalns,Iecavas 1,6,9.193548387096774,2023-01-05 07:32:31
Izīrēju 1 istabu 1 cilvēkam bez kaitīgiem ieradumiem un mājdzīvn,1.0,18,1.0,Priv. m.,300.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/adcxi.html,riga,Teika,Remīnes 3,2,16.666666666666668,2023-01-05 07:32:31
Ilgtermiņā tiek izīrēts saulains un ekonomisks vienistabas dzīvo,1.0,33,2.0,Specpr.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/cilhk.html,riga,Sarkandaugava,Viestura pr. 39,9,6.0606060606060606,2023-01-05 07:32:31
Tiek izīrēts 1 istabas dzīvoklis ar centralo apkuri. Dzīvoklī ir,1.0,20,2.0,Renov.,150.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dobmd.html,riga,centrs,Bruņinieku 115С,5,7.5,2023-01-05 07:32:31
Сдаю 1 комнатную квартиру в чиекуркалнсе 28 кв м. Со всеми удобс,1.0,28,1.0,Hrušč.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/chiekurkalns/dxbke.html,riga,Čiekurkalns,Čiekurkalna 1. l. 1,5,7.142857142857143,2023-01-05 07:32:31
Сдаётся 1-ком. квартира со всеми удобствами и центральным отопле,1.0,28,2.0,Renov.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/mangali/epcki.html,riga,Mangaļi,Ezera 18,3,7.142857142857143,2023-01-05 07:32:31
Tiek izīrēts gaišs un mājīgs studio tipa vienistabas dzīvoklis R,1.0,30,2.0,P. kara,250.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/fpcol.html,riga,Sarkandaugava,Duntes 54,2,8.333333333333334,2023-01-05 07:32:31
Хозяин без посредников сдаёт 2-х комнатную квартиру. Квартира на,2.0,50,5.0,LT proj.,230.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/fence.html,riga,Imanta,M. Krūmu 1,5,4.6,2023-01-05 07:32:31
Super-piedāvājums jauniešiem. Ideāla vienam cilvēkam. Jauns mo,1.0,22,2.0,Renov.,300.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/afolm.html,riga,centrs,Brīvības 212,2,13.636363636363637,2023-01-05 07:32:31
Сдаю двухкомнатную квартиру на длительный срок. Аренда за первый,2.0,44,1.0,LT proj.,250.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/afihc.html,riga,Ķengarags,Prūšu 3,5,5.681818181818182,2023-01-05 07:32:31
